,Home->Tools->Power tools->Power tool accessories->Saw blades & accessories,Power tools,Atlas Uni Turbo 300mm,For the cutting of building materials,https://www.homebase.co.uk/atlas-uni-turbo-300mm_p488728,48.49,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1f88686f-8d98-422d-9598-a750109577ba.jpg,Unnamed: 7,488728
10,"Home->Kitchens->Kitchen worktops->Solid surface worktops->Maia->Latte->Worktops, islands & breakfast bars->28mm",Kitchen worktops,Maia Latte Kitchen Worktop - 360 x 65 x 2.8cm,"Latte is part of Maia's worktop range with a neutral tone. Slightly darker than Cappuccino but lighter than Mocha, this is ideal if you're looking for a shade somewhere in between.",https://www.homebase.co.uk/maia-latte-kitchen-worktop-360-x-65-x-2-8cm_p143402,879.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b9fa6a7b-9bfd-4de9-b24d-513dbf99594e.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/76f806aa-39e0-4e97-bdcd-0afbce9b385c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b4d14471-bac2-4681-aa2b-5022856aaecc.jpg",,143402
11,Home->Bathrooms & Plumbing->Plumbing->Tap accessories & plugs->Tap accessories,Plumbing,Hose Union Bib Tap - Double Check Valve,House Union Bib Tap featuring a double check valve for low loss.,https://www.homebase.co.uk/hose-union-bib-tap-double-check-valve_p568948,8.5,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1f7fcf68-1611-48db-959a-cc92696ca6f1.jpg,,568948
12,Home->Bathrooms & Plumbing->Bathroom furniture suites->Harrington range->Cashmere->Basin units,Bathroom furniture suites,Balterley Harrington 800mm Cabinet With 1 Tap Hole Basin - Cashmere,This unique traditional cashmere unit will create the perfect calming effect within your bathroom.,https://www.homebase.co.uk/balterley-harrington-800mm-cabinet-with-1-tap-hole-basin-cashmere_p504177,590.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/93cfc60a-c975-40bc-9ee1-63814d88b454.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/d38750d6-00ef-4acb-b3d7-7a04e8e576ee.jpg",,504177
13,Home->Paint & Decorating->Paint->Specialist paint->All surface paint,Paint,Craig & Rose Artisan Metallic Effect - Tempered Bronze - 250ml,"Create the look of glimmering metal on interior feature walls, trim areas and furniture with metallic effect",https://www.homebase.co.uk/craig-rose-artisan-metallic-effect-tempered-bronze-250ml_p473050,12.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a4ac701a-dd29-4c08-a381-ddbe2563eed0.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f64c5da2-e8bb-4cac-b2b6-ec1c544d93f7.jpg",,473050
14,Home->Tools->Power tools->Power tool accessories->Drill & driver bits,Power tools,Kango 13pc HSS Silver Metal Drill Set KHSSG13K,Toughen up your drill with these Silver HSS drill bits from Kango!,https://www.homebase.co.uk/kango-13pc-hss-silver-metal-drill-set-khssg13k_p467840,24.99,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/0123edd5-e26b-4f30-9b82-548ab58804fa.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/537f6a47-d6c9-4343-a1bd-0902c0feb11b.jpg",,467840
15,Home->Building & Hardware->Doors & door furniture->Interior doors->Glazed,Doors & door furniture,Zeus Internal Glazed Prefinished Walnut 3 Lite Door - 762 x 1981mm,"Zeus is a walnut internal door with bags of personality. From the rich character of the wood grain to the diagonal patterning, from the three clear glazed panels to the raised moulding. Slim glazed panels allow light to pass between rooms, so if natural light is at a premium, this door is a great solution. In pre-finished walnut, it couldn't be easier either, it's ready to hang.",https://www.homebase.co.uk/zeus-internal-glazed-prefinished-walnut-3-lite-door-762-x-1981mm_p498198,329.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/cc1ff4c6-2d08-453d-bfca-dc1e37982767.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/402118db-99cf-4e9d-a468-8ef91dfde960.jpg",,498198
16,Home->Kitchens->Kitchen worktops->Solid surface worktops->Maia->Vulcano->Sink modules->28mm,Kitchen worktops,Maia Vulcano Kitchen Sink Worktop - Acrylic 1.5 Designer Left Hand Bowl - 180 x 65 x 2.8cm,"Vulcano is the most popular surface in the Maia range. Lightly coloured flecks are scattered across the surface, adding depth and contrast against a dark background. The acrylic 1.5 designer bowl is available in left and right hand configurations and features a one piece sink unit that is mounted under your kitchen worktop.",https://www.homebase.co.uk/maia-vulcano-kitchen-sink-worktop-acrylic-1-5-designer-left-hand-bowl-180-x-65-x-2-8cm_p312901,1394.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/da45f307-be69-4524-87b5-04c6221984b6.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e07340c1-ce52-40be-aa6b-18719181e127.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/acb0d6ea-92ac-4f22-8918-597f2b416b36.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/13ab890e-d431-4a63-9d5a-afa81df135d0.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5d63d895-aa1f-47c3-842c-0409f13e65f6.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/600f7783-6df6-4c02-abbc-f6b625f3be1f.jpg",,312901
17,Home->Bathrooms & Plumbing->Plumbing->Radiators->Valves & accessories,Plumbing,Balterley Heating Element - 150 Watts,The high quality heating element is designed for use with electric towel rails and radiators.,https://www.homebase.co.uk/balterley-heating-element-150-watts_p501767,85.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f3974a9a-f61f-44b3-9fd5-a30c2fc92e77.jpg,,501767
18,Home->Garden & Outdoor->Garden buildings->Sheds->Wooden sheds->10 x 8ft sheds,Garden buildings,Forest Garden (Installation Included) 10 x 8ft Wooden Overlap Dip Treated Double Door Apex Shed,"The Overlap Dip Treated 10x8 Apex Workshop with Double Doors from Forest is ideal for use as a workshop or large storage solution for all types of gardening equipment. The traditional apex roof and smooth-planed finial and barge boards ensure this building will look great.  Its superior size, double doors and 4 windows make this a really practical building.",https://www.homebase.co.uk/forest-garden-installation-included-10-x-8ft-wooden-overlap-dip-treated-double-door-apex-shed_p389195,819.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b19fead9-4b66-4b31-b95c-4c30d2b0f9ce.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/541ffe8b-6946-4e2e-a996-ede897107f02.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/aeed9b08-ffb5-412e-96ce-e8ee66e78f57.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/c3ac2f22-2b43-48d3-b7c3-ddb1e531f9f1.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f323e0a1-c416-4bfa-a3ea-8d8fe950fd5c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ee13a507-7219-4068-894c-bf15e5ff7448.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/58ac19b2-f75e-405d-bfb0-0db480293aef.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/791055e3-d827-47d2-95dd-f687d183dbf4.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/95c97f9b-6fff-4083-baf7-3dc6f4cac331.jpg",,389195
19,Home->Garden & Outdoor->Garden buildings->Sheds->Wooden sheds->Other shed sizes,Garden buildings,Forest Garden (Installation Included) 6 x 3ft Wooden Overlap Pressure Treated Pent Shed,"The Overlap Pressure Treated 6x3 Pent Shed from Forest has a practical design with higher eaves than most other brands, so you can move easier and store more. The pent roof style is ideal for positioning against a wall and will offer a secure space for you to store garden equipment.",https://www.homebase.co.uk/forest-garden-installation-included-6-x-3ft-wooden-overlap-pressure-treated-pent-shed_p389224,349.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/fd9626d9-374e-40c9-a23c-42e666a48c67.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e34329ac-fcd6-470b-9959-3d398f255a9a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/272b7d95-5da6-451d-a493-b06b02389619.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/36018ad7-bc6f-4d81-8087-fa6fc7ac90f2.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/25f1bb96-6fde-4a15-9202-005f78cfd775.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8dd69527-126c-4441-b6a4-ee7a24fbaca8.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/6499ab56-e083-438f-bea2-3b02630e35d5.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/d52ded65-578d-4fb9-b6ef-6285123e1e0d.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/26a2241d-ade5-4769-bc62-1c47c3bbe715.jpg",,389224
20,Home->Garden & Outdoor->Garden buildings->Sheds->Metal sheds,Garden buildings,Yardmaster 10 x 6ft Woodgrain Shed & Floor Frame,"The Yardmaster Woodgrain Shiplap Metal Shed and Floor Support Frame is made from high specification hot dipped, galvanised steel and includes a 10 year manufacturers anti-rust guarantee.  Floor surface material is not included (image for illustrative purposes only).",https://www.homebase.co.uk/yardmaster-10-x-6ft-woodgrain-shed-floor-frame_p469762,475.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f367c320-4e3e-4aff-b12e-c899e848f2df.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2a3b32e5-816b-41a3-80b5-57bb0c8d7a9e.jpg",,469762
21,Home->Paint & Decorating->Paint->Interior paint->Metal and wood->Neutral paint->Gloss,Paint,Craig & Rose 1829 Gloss - Lady Emma - 750ml,A gentle shaded grey tinted with delicate mauve. Serene and enduring for a beautiful bedroom. Use with 1829 White Undercoat.,https://www.homebase.co.uk/craig-rose-1829-gloss-lady-emma-750ml_p474972,15.5,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ecbcd8d5-4658-4b5a-bf17-4573c9072628.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/70ce5900-854d-4c80-99b4-c69fdaf75c14.jpg",,474972
22,Home->Bathrooms & Plumbing->Bathroom furniture suites->Rio range->Hacienda black->Wall hung,Bathroom furniture suites,Balterley Rio 500mm Wall Hung Single Drawer Vanity With Basin 2 - Hacienda Black,This striking hacienda black finish compliments any modern bathroom to create a designer look.,https://www.homebase.co.uk/balterley-rio-500mm-wall-hung-single-drawer-vanity-with-basin-2-hacienda-black_p502365,200.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8313e216-a421-4a86-85aa-f9d00e55408e.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9cd6c23c-1f9b-4f42-ae0e-c342730edc49.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/0d593ad3-c363-4b85-9dfd-a15e9560209a.jpg",,502365
23,Home->Paint & Decorating->Paint->Interior paint->Emulsion paint->Purple paint->Standard emulsion->2.5L,Paint,Craig & Rose 1829 Chalky Emulsion - Tribune - 2.5L,A quintessential Swedish grey for atmospheric northern skies that shimmer and glow as the light changes. Use with 1829 White Undercoat.,https://www.homebase.co.uk/craig-rose-1829-chalky-emulsion-tribune-2-5l_p474686,35.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4d2c17c0-0d84-49fd-98ad-0a7ed163c17e.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5472d594-b83e-442d-a270-a3b8d0daf4cd.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/c41509b7-82de-40c5-b9ab-acf07754364e.jpg",,474686
24,Home->Bathrooms & Plumbing->Plumbing->Radiators->Designer radiators,Plumbing,Terma Ribbon V 1720 x 290mm Radiator Heban 2252 BTUs,"Add award-winning style to your home with the Terma Ribbon Designer radiator. It's an extremely unique design featuring the highest quality finned tubes. Choose from two colours copper and heban to suit your home interior perfectly. With an impressive BTU heat output, this modern designer radiator will heat your home sufficiently and also in style!",https://www.homebase.co.uk/terma-ribbon-v-1720-x-290mm-radiator-heban-2252-btus_p496280,595.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/c1b702d2-3ad5-4de7-bc57-5d9ee4940e10.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2cc89bbc-9310-4686-82ca-5559261efbdf.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e4547bcb-2090-4e2f-a173-f05f4b25e44f.png",,496280
25,Home->Paint & Decorating->Paint->Specialist paint->All surface paint,Paint,Craig & Rose Artisan Gold Effect - Antique Gold - 250ml,Add a touch of luxury and sophistication with Gold Effect. Ideal for inside the home.,https://www.homebase.co.uk/craig-rose-artisan-gold-effect-antique-gold-250ml_p473043,11.99,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/7998fffa-b5cc-4036-a24c-f0dd4b173d6f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/57a73dc9-2225-43e1-be90-8680dd0bb4de.jpg",,473043
